Name;Description;Price;Link
Name;Description;Price;Link
Name;Description;Price;Link
Sony Xperia Z2 Tablet 16Gb 4G;"Sony Xperia Z2 Tablet 16Gb 4GЭкран 10.1"", ОС Android 4.4, Кол-во SIM 1, Фотокамера 8.1мп, Фронт. камера 2,2 мп, Ядра 4, Опер. память 3гб, Встр. память 16гб, 3G, WiFi";49010 сом;www.kivano.kg//product/view/sony-xperia-z2-tablet-16gb-4g
Планшет Huawei Mediapad T3 9.6 16Gb 4G серый;"Планшет Huawei Mediapad T3 9.6 16Gb 4G серыйпланшет 9.6"", 1280x800, TFT IPS
	встроенная память 16 ГБ, слот microSDXC, до 128 ГБ
	Android 7.0, ОЗУ 2 ГБ, процессор Qualcomm Snapdragon 425 1400 МГц
	Wi-Fi, Bluetooth, 3G, 4G LTE, GPS
	размеры 160x230x8 мм, вес 460 г
	тыловая камера 5 Мпикс
	фронтальная камера...";19719 сом;www.kivano.kg//product/view/planshet-huawei-mediapad-t3-9-6-16gb-4g-seryy
Планшет Lenovo Tab M10 TB-X505X 32Gb LTE черный;"Планшет Lenovo Tab M10 TB-X505X 32Gb LTE черныйпланшет 10.1"", 1280x800, TFT IPS, встроенная память 32 ГБ, слот microSDXC, до 256 ГБ, Android 9, ОЗУ 2 ГБ, процессор Qualcomm 2000 МГц, Wi-Fi, Bluetooth, 3G, 4G LTE, GPS, размеры...";18906 сом;www.kivano.kg//product/view/planshet-lenovo-tab-m10-tb-x505x-32gb-lte-chernyy
Стилус Apple Pencil для iPad Pro (MK0C2ZM/A);"Стилус Apple Pencil для iPad Pro (MK0C2ZM/A)Тип: стилус
	Материал: пластик
	Цвет: белый
	Совместимость с брендом: Apple
	Совместимые модели: iPad Pro, iPad (2018)";12194 сом;www.kivano.kg//product/view/stilus-apple-pencil-dlya-ipad-pro-mk0c2zm-a
Планшет ASUS MeMO Pad FHD 10 ME302KL 16Gb LTE белый;"Планшет ASUS MeMO Pad FHD 10 ME302KL 16Gb LTE белыйпланшет 10.1"", 1920x1200, TFT IPS; встроенная память 16 Гб, слот microSDXC, до 64 Гб; Android 4.2, ОЗУ 2 Гб, процессор Qualcomm Snapdragon APQ8064 1500 МГц; Wi-Fi, Bluetooth, 3G, 4G LTE,...";40870 сом;www.kivano.kg//product/view/planshet-asus-memo-pad-fhd-10-me302kl-16gb-lte-belyy
Планшет Asus Nexus 7C 1A015A;"Планшет Asus Nexus 7C 1A015AЭкран 7"", 1920x1200, емкостный, мультитач, Android 4.3, встроенная память 32 Гб, Wi-Fi, Bluetooth, NFC, 3G, LTE, GPS, ГЛОНАСС, гироскоп, две фотокамеры, вес 299 г";37650 сом;www.kivano.kg//product/view/planshet-asus-nexus-7c-1a015a
Планшет Samsung Galaxy Tab A 10.1 Black;"Планшет Samsung Galaxy Tab A 10.1 BlackПланшет; время работы, ч: 12; диагональ, дюйм: 10.1; стилус в комплекте: нет; тип матрицы дисплея: IPS; объём встроенной памяти, ГБ: 32; объем оперативной памяти, ГБ: 2; поддержка 4G LTE: да;...";19312 сом;www.kivano.kg//product/view/planshet-samsung-galaxy-tab-a-10-1-black
"Клавиатура Apple Magic Keyboard для iPad Pro 12,9"" (2020)";"Клавиатура Apple Magic Keyboard для iPad Pro 12,9"" (2020)беспроводная с подсветкой, ножничная, предназначение: планшет, количество клавиш 65. Клавиатура Magic Keyboard станет идеальным дополнением к iPad Pro или iPad Air (4‑го поколения). В сложенном виде клавиатура превращается в чехол, который защищает...";35280 сом-5%33580 сом;www.kivano.kg//product/view/klaviatura-apple-magic-keyboard-dlya-ipad-pro-12-9-2020
Планшет Apple iPad Pro 11 M1 (2021) 256Gb Wi-Fi серый космос;"Планшет Apple iPad Pro 11 M1 (2021) 256Gb Wi-Fi серый космосдиагональ: 11"" (2388x1668) IPS, встроенная память: 256 ГБ, оперативная память: 8 ГБ, процессор: Apple M1, операционная система: iPadOS, камеры: основная 12 МП, 10 МП, фронтальная 7 МП, SIM-карты: отсутствует, динамики:...";86580 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-m1-2021-256gb-wi-fi-seryy-kosmos
"Клавиатура Apple Magic Keyboard для iPad Pro 11"" (2020)";"Клавиатура Apple Magic Keyboard для iPad Pro 11"" (2020)беспроводная с подсветкой, ножничная, предназначение: планшет, количество клавиш 65. Клавиатура Magic Keyboard станет идеальным дополнением к iPad Pro или iPad Air (4‑го поколения). В сложенном виде клавиатура превращается в чехол, который защищает...";26630 сом-6%24930 сом;www.kivano.kg//product/view/klaviatura-apple-magic-keyboard-dlya-ipad-pro-11-2020
Планшет Apple iPad Pro 11 M1 (2021) 256Gb Wi-Fi серебристый;"Планшет Apple iPad Pro 11 M1 (2021) 256Gb Wi-Fi серебристыйдиагональ: 11"" (2388x1668) IPS, встроенная память: 256 ГБ, оперативная память: 8 ГБ, процессор: Apple M1, операционная система: iPadOS, камеры: основная 12 МП, 10 МП, фронтальная 7 МП, SIM-карты: отсутствует, динамики:...";86580 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-m1-2021-256gb-wi-fi-serebristyy
Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb золотой;"Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb золотойПланшет; время работы, ч: 12; диагональ, дюйм: 10.1; стилус в комплекте: нет; тип матрицы дисплея: IPS; объём встроенной памяти, ГБ: 32; объем оперативной памяти, ГБ: 2; поддержка 4G LTE: да;...";17470 сом;www.kivano.kg//product/view/planshet-samsung-galaxy-tab-a-10-1-sm-t515-32gb-zolotoy
Планшет Apple iPad Pro 11 1Tb Wi-Fi серый космос;"Планшет Apple iPad Pro 11 1Tb Wi-Fi серый космоспланшет 11"", 2388x1668, TFT IPS, встроенная память 1024 ГБ, без слота для карт памяти, iOS, процессор Apple A12X Bionic, Wi-Fi, Bluetooth, вес 468 г, тыловая камера 12 Мпикс, фронтальная камера...";74450 сом-6%70140 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-1tb-wi-fi-seryy-kosmos
Планшет Apple iPad Pro 11 1Tb Wi-Fi серебристый;"Планшет Apple iPad Pro 11 1Tb Wi-Fi серебристыйпланшет 11"", 2388x1668, TFT IPS, встроенная память 1024 ГБ, без слота для карт памяти, iOS, процессор Apple A12X Bionic, Wi-Fi, Bluetooth, вес 468 г, тыловая камера 12 Мпикс, фронтальная камера...";74450 сом-6%70140 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-1tb-wi-fi-serebristyy
Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi + Cellular серый космос;"Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi + Cellular серый космоспланшет 11"", 2388x1668, TFT IPS, встроенная память 256 ГБ, без слота для карт памяти, iOS, ОЗУ 6 ГБ, процессор Apple A12Z Bionic, Wi-Fi, Bluetooth, 3G, 4G LTE, GPS, размеры 178.5x247.6x5.9...";103630 сом-3%100150 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-2020-256gb-wi-fi-cellular-seryy-kosmos
Планшет Apple iPad Pro 11 (2020) 128Gb Wi-Fi серебристый;"Планшет Apple iPad Pro 11 (2020) 128Gb Wi-Fi серебристыйпланшет 11"", 2388x1668, TFT IPS, встроенная память 128 ГБ, без слота для карт памяти, iOS, ОЗУ 6 ГБ, процессор Apple A12Z Bionic, Wi-Fi, Bluetooth, размеры 178.5x247.6x5.9 мм, вес 471 г,...";73610 сом-8%67590 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-2020-128gb-wi-fi-serebristyy
Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi серебристый;"Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi серебристыйпланшет 11"", 2388x1668, TFT IPS, встроенная память 256 ГБ, без слота для карт памяти, iOS, ОЗУ 6 ГБ, процессор Apple A12Z Bionic, Wi-Fi, Bluetooth, размеры 178.5x247.6x5.9 мм, вес 471 г,...";82260 сом-10%74210 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-2020-256gb-wi-fi-serebristyy
Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi серый космос;"Планшет Apple iPad Pro 11 (2020) 256Gb Wi-Fi серый космоспланшет 11"", 2388x1668, TFT IPS, встроенная память 256 ГБ, без слота для карт памяти, iOS, ОЗУ 6 ГБ, процессор Apple A12Z Bionic, Wi-Fi, Bluetooth, размеры 178.5x247.6x5.9 мм, вес 471 г,...";82260 сом-10%74210 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-2020-256gb-wi-fi-seryy-kosmos
Планшет Apple iPad Pro 11 (2020) 512Gb Wi-Fi серебристый;"Планшет Apple iPad Pro 11 (2020) 512Gb Wi-Fi серебристыйпланшет 11"", 2388x1668, TFT IPS, встроенная память 512 ГБ, без слота для карт памяти, iOS, ОЗУ 6 ГБ, процессор Apple A12Z Bionic, Wi-Fi, Bluetooth, размеры 178.5x247.6x5.9 мм, вес 471 г,...";89800 сом-1%88880 сом;www.kivano.kg//product/view/planshet-apple-ipad-pro-11-2020-512gb-wi-fi-serebristyy
Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb черный;"Планшет Samsung Galaxy Tab A 10.1 SM-T515 32Gb черныйпланшет 10.1"", 1920x1200, встроенная память 32 ГБ, слот microSDXC, до 512 ГБ, Android 9.0, ОЗУ 2 ГБ, Wi-Fi, Bluetooth, 3G, 4G LTE, GPS, размеры 149.4x245.2x7.5 мм, вес 470 г, тыловая...";17470 сом;www.kivano.kg//product/view/planshet-samsung-galaxy-tab-a-10-1-sm-t515-32gb-chernyy
