Day of publication;News;Link
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
06.07.2020;Структура государственного долга Кыргызской Республики на 31.05.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-maya-tekuschego-goda-gosudarstvennyy-dolg-ky
15.06.2020;Структура государственного долга Кыргызской Республики на 30.04.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-30-aprelya-tekuschego-goda-vneshniy-dolg-kyrgyz
15.05.2020;На конец марта 2020 года внешний долг страны составил около 4 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-konets-marta-2020-goda-vneshniy-dolg-strany-sos
21.04.2020;На 29 февраля текущего года общая сумма госдолга Кыргызстана составила 321,7 млрд. сомов;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/fevral-ayynyn-sounda-kyrgyzstandyn-mamlekettik-kar
09.03.2020;На 31 января 2020 года госдолг Кыргызской Республики составил 4,6 млрд. долларов США;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/na-31-yanvarya-2020-goda-gosdolg-kyrgyzskoy-respub
Day of publication;News;Link
23.04.2021;Структура государственного долга Кыргызской Республики на 28 февраля 2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/mamlekettik-karyz/obsluzhivanie-gosudarstvennogo-dolga/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub
15.03.2021;Структура государственного долга Кыргызской Республики на 31.01.2021 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7096
04.02.2021;Структура государственного долга Кыргызской Республики на 31.12.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub7056
12.01.2021;Структура государственного долга Кыргызской Республики на 30.11.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6998
03.08.2020;Структура государственного долга Кыргызской Республики на 30.06.2020 года;www.minfin.kg/ru/http://www.minfin.kg/ru/novosti/novosti/struktura-gosudarstvennogo-dolga-kyrgyzskoy-respub6798
